X,Y,Z,bio
547249.944,6260750.093,14.98653,grass
547250.145,6260849.68,15.660191,grass
546750.344,6260850.03,14.520978,grass
546249.93,6260850.111,17.481121,grass
547250.302,6260250.001,13.081192,grass
547250.149,6260350.075,13.42168,grass
546749.883,6260250.257,11.725176,fallow
547750.068,6260275.533,12.889207,grass
547750.134,6260349.977,13.603242,grass
546250.136,6260249.313,10.920991,grass
546750.238,6260349.827,13.550426,fallow
546850.013,6259749.831,9.7135773,grass
547249.842,6259849.887,9.228096,grass
547749.878,6259750.142,9.9933949,grass
548249.907,6259749.433,12.541128,grass
547750.053,6259850.26,10.215856,other
547224.938,6259750.104,8.618927,grass
546749.821,6259250.36,7.8714108,other
546724.998,6259349.726,8.3946981,other
549036.978,6259638.184,13.974726,grass
545349.548,6258750.151,4.4055781,grass
543749.853,6258849.966,3.402591,other
544249.537,6258849.855,3.5047693,grass
543750.117,6258750.117,3.2317755,other
539749.989,6258249.912,3.12572,grass
545249.849,6258250.654,3.02946,other
540250.024,6258250.052,3.0781307,other
540249.995,6258349.886,3.8875008,other
539750.138,6258350.297,4.76298,grass
537749.768,6257849.933,5.6582136,other
543749.885,6257849.991,2.8728771,other
544749.869,6257875.467,3.2442846,other
542750.145,6257375.123,2.6560986,other
541750.005,6257349.785,3.2824204,grass
544349.867,6257750.17,2.5471549,other
540749.88,6257750.343,2.7267959,grass
537749.81,6257750.24,4.5448513,grass
543749.948,6257749.84,2.4077415,grass
538750.187,6257749.741,3.7177937,other
542349.958,6257750.063,2.5019562,other
542849.853,6257749.975,2.4894385,other
544749.697,6257750.192,3.6858776,other
545249.892,6257625.265,2.8317568,other
545224.984,6257349.981,2.4264836,other
542749.958,6257250.011,2.0002933,grass
542249.763,6256849.966,1.9505446,grass
541750.129,6257249.94,4.1147442,grass
537349.893,6257249.983,4.1274972,other
545249.913,6257250.107,2.2284362,other
542749.923,6256849.899,4.6710815,grass
540249.957,6256350.13,2.8237941,other
538749.952,6256349.965,3.0454726,grass
539249.996,6256350.279,2.9158545,other
535750.194,6255850.216,3.2287745,grass
541350.035,6256249.742,3.0478485,grass
536749.991,6256250.174,2.9221215,other
539225.01,6256249.898,2.5601485,other
540749.944,6256250.201,3.0134659,other
540375.24,6255749.959,18.696968,grass
538749.955,6255749.922,9.8306742,grass
533749.771,6254850.165,3.3035851,grass
531749.965,6254850.19,3.6465988,grass
534249.906,6254849.841,3.2190433,grass
534750.12,6255275.081,3.3013685,other
534274.889,6254750.147,3.3538704,grass
533249.869,6254250.118,8.9639196,grass
533249.917,6254350.421,6.2589474,fallow
533750.008,6254350.145,4.1082859,grass
535849.838,6253749.944,14.006486,grass
551512.0,6345963.0,6.1224604,corn
551237.0,6345963.0,5.6627469,corn
550412.0,6345963.0,5.3593178,cereal
550687.0,6345963.0,5.7447429,cereal
551237.0,6345413.0,6.6106319,grass
550962.0,6345688.0,5.686954,grass
550687.0,6345413.0,5.9215364,grass
550687.0,6345688.0,5.5555906,grass
551787.0,6345138.0,6.4937406,grass
551512.0,6344863.0,6.7295928,grass
551237.0,6345138.0,6.3663554,grass
551787.0,6344863.0,6.4282451,other
550962.0,6344588.0,6.3024373,potato
550137.0,6344588.0,6.1133237,cereal
549312.0,6344313.0,6.3974795,grass
548762.0,6344038.0,5.9280052,grass
550137.0,6344313.0,5.9370213,cereal
550412.0,6344038.0,6.2773924,potato
550412.0,6344313.0,6.1425567,potato
550137.0,6344038.0,6.4452648,cereal
549037.0,6344038.0,6.2726269,grass
551512.0,6344038.0,6.512733,cereal
551512.0,6344313.0,6.6983376,potato
